Datetime,Open,High,Low,Close,Volume
2026-02-10 09:26:00-05:00,600.97,601.05,600.79,600.95,361932
2026-02-10 09:27:00-05:00,601.25,601.35,601.2,601.23,533690
2026-02-10 09:28:00-05:00,601.17,601.2,600.94,601.14,171755
2026-02-10 09:29:00-05:00,600.99,601.03,600.88,601.08,200812
2026-02-10 09:30:00-05:00,600.95,600.96,600.78,600.96,309927
2026-02-10 09:31:00-05:00,600.75,600.79,600.67,600.71,351667
2026-02-10 09:32:00-05:00,601.08,601.08,600.96,601.01,613885
2026-02-10 09:33:00-05:00,601.12,601.36,600.96,601.17,448972
2026-02-10 09:34:00-05:00,601.16,601.17,601.12,601.11,194272
2026-02-10 09:35:00-05:00,601.08,601.21,601.04,601.1,168512
2026-02-10 09:36:00-05:00,601.01,601.1,600.94,601.07,681320
2026-02-10 09:37:00-05:00,600.87,600.91,600.83,600.84,662690
2026-02-10 09:38:00-05:00,600.84,600.97,600.7,600.92,610817
2026-02-10 09:39:00-05:00,600.83,600.96,600.79,600.86,294705
2026-02-10 09:40:00-05:00,601.12,601.12,600.93,601.17,109800
2026-02-10 09:41:00-05:00,601.14,601.18,601.13,601.13,150617
2026-02-10 09:42:00-05:00,601.21,601.39,601.15,601.18,271587
2026-02-10 09:43:00-05:00,601.39,601.43,601.32,601.39,525930
2026-02-10 09:44:00-05:00,601.57,601.65,601.53,601.48,334447
2026-02-10 09:45:00-05:00,601.63,601.66,601.63,601.55,361852
2026-02-10 09:46:00-05:00,601.57,601.61,601.47,601.59,375362
2026-02-10 09:47:00-05:00,601.92,601.94,601.89,601.8,392017
2026-02-10 09:48:00-05:00,601.92,601.93,601.63,601.94,369575
2026-02-10 09:49:00-05:00,601.93,602.07,601.79,601.98,592587
2026-02-10 09:50:00-05:00,601.78,601.94,601.61,601.91,545642
2026-02-10 09:51:00-05:00,601.61,601.68,601.6,601.52,316332
2026-02-10 09:52:00-05:00,601.63,601.76,601.58,601.73,256935
2026-02-10 09:53:00-05:00,601.5,601.54,601.41,601.52,219882
2026-02-10 09:54:00-05:00,601.75,601.95,601.73,601.8,463345
2026-02-10 09:55:00-05:00,601.54,601.7,601.48,601.56,472022
2026-02-10 09:56:00-05:00,601.62,601.7,601.59,601.58,188440
2026-02-10 09:57:00-05:00,601.97,602.03,601.83,601.91,225996
2026-02-10 09:58:00-05:00,602.13,602.27,602.03,602.16,263468
2026-02-10 09:59:00-05:00,602.3,602.52,602.27,602.24,111650
2026-02-10 10:00:00-05:00,602.16,602.17,602.12,602.21,186903
2026-02-10 10:01:00-05:00,602.18,602.36,602.15,602.22,634177
2026-02-10 10:02:00-05:00,602.05,602.17,601.99,602.09,145549
2026-02-10 10:03:00-05:00,602.15,602.16,602.05,602.12,76311
2026-02-10 10:04:00-05:00,602.32,602.35,602.17,602.34,177475
2026-02-10 10:05:00-05:00,602.18,602.2,602.17,602.2,91905
2026-02-10 10:06:00-05:00,602.3,602.43,602.17,602.24,81729
2026-02-10 10:07:00-05:00,602.41,602.48,602.35,602.45,1117233
2026-02-10 10:08:00-05:00,602.64,602.75,602.56,602.68,139018
2026-02-10 10:09:00-05:00,602.52,602.55,602.46,602.66,169555
2026-02-10 10:10:00-05:00,602.2,602.29,602.01,602.27,128544
2026-02-10 10:11:00-05:00,602.24,602.37,602.15,602.19,228615
2026-02-10 10:12:00-05:00,602.3,602.3,602.22,602.33,475428
2026-02-10 10:13:00-05:00,601.95,601.98,601.87,601.91,249251
2026-02-10 10:14:00-05:00,601.95,602.02,601.85,601.93,89308
2026-02-10 10:15:00-05:00,601.89,601.97,601.68,601.82,199284
2026-02-10 10:16:00-05:00,602.08,602.34,601.96,602.05,76138
2026-02-10 10:17:00-05:00,602.33,602.42,602.28,602.28,239741
2026-02-10 10:18:00-05:00,602.35,602.74,602.22,602.27,143446
2026-02-10 10:19:00-05:00,602.67,602.84,602.62,602.76,173749
2026-02-10 10:20:00-05:00,602.43,602.57,602.43,602.46,99632
2026-02-10 10:21:00-05:00,602.5,602.57,602.49,602.5,134234
2026-02-10 10:22:00-05:00,602.64,602.83,602.49,602.52,472842
2026-02-10 10:23:00-05:00,602.64,602.71,602.61,602.63,119210
2026-02-10 10:24:00-05:00,602.58,602.65,602.48,602.54,194562
2026-02-10 10:25:00-05:00,602.77,602.81,602.67,602.72,222974
2026-02-10 10:26:00-05:00,602.7,602.79,602.62,602.7,161062
2026-02-10 10:27:00-05:00,602.96,603.03,602.89,602.94,147105
2026-02-10 10:28:00-05:00,603.18,603.28,603.08,603.18,312618
2026-02-10 10:29:00-05:00,603.34,603.37,603.3,603.34,152501
2026-02-10 10:30:00-05:00,603.47,603.57,603.22,603.4,98419
2026-02-10 10:31:00-05:00,603.71,603.81,603.64,603.71,222831
2026-02-10 10:32:00-05:00,603.58,603.59,603.5,603.57,265019
2026-02-10 10:33:00-05:00,603.46,603.5,603.41,603.41,122778
2026-02-10 10:34:00-05:00,603.54,603.57,603.48,603.55,128602
2026-02-10 10:35:00-05:00,603.31,603.48,603.22,603.33,146279
2026-02-10 10:36:00-05:00,603.61,603.71,603.59,603.55,161214
2026-02-10 10:37:00-05:00,603.64,603.67,603.6,603.67,107622
2026-02-10 10:38:00-05:00,603.95,603.96,603.9,603.92,229824
2026-02-10 10:39:00-05:00,604.02,604.02,604.01,604.02,110580
2026-02-10 10:40:00-05:00,604.15,604.32,604.03,604.1,477629
2026-02-10 10:41:00-05:00,604.34,604.36,604.07,604.29,108646
2026-02-10 10:42:00-05:00,604.26,604.52,604.2,604.27,111349
2026-02-10 10:43:00-05:00,604.36,604.59,604.25,604.31,121972
2026-02-10 10:44:00-05:00,604.49,604.65,604.26,604.46,293525
2026-02-10 10:45:00-05:00,604.21,604.37,604.2,604.11,302219
2026-02-10 10:46:00-05:00,604.14,604.14,604.13,604.18,129958
2026-02-10 10:47:00-05:00,603.98,604.0,603.97,604.02,210495
2026-02-10 10:48:00-05:00,603.81,604.0,603.66,603.77,192174
2026-02-10 10:49:00-05:00,604.13,604.15,603.99,604.26,168343
2026-02-10 10:50:00-05:00,604.49,604.52,604.37,604.57,224737
2026-02-10 10:51:00-05:00,604.35,604.44,604.22,604.28,67550
2026-02-10 10:52:00-05:00,604.02,604.05,603.93,604.03,344958
2026-02-10 10:53:00-05:00,604.36,604.52,604.15,604.38,158296
2026-02-10 10:54:00-05:00,604.39,604.64,604.38,604.43,84775
2026-02-10 10:55:00-05:00,604.5,604.61,604.43,604.49,95835
2026-02-10 10:56:00-05:00,604.71,604.83,604.65,604.66,124850
2026-02-10 10:57:00-05:00,604.73,604.85,604.66,604.85,89416
2026-02-10 10:58:00-05:00,604.78,604.86,604.75,604.76,153865
2026-02-10 10:59:00-05:00,604.93,605.02,604.87,604.91,122038
2026-02-10 11:00:00-05:00,604.55,604.74,604.39,604.54,370453
2026-02-10 11:01:00-05:00,604.7,604.74,604.33,604.69,284869
2026-02-10 11:02:00-05:00,604.57,604.76,604.54,604.48,111504
2026-02-10 11:03:00-05:00,604.49,604.62,604.29,604.49,252917
2026-02-10 11:04:00-05:00,604.81,604.81,604.7,604.84,348558
2026-02-10 11:05:00-05:00,604.66,604.68,604.55,604.72,81519
2026-02-10 11:06:00-05:00,605.05,605.22,604.98,605.02,117557
2026-02-10 11:07:00-05:00,604.99,605.09,604.98,605.0,107422
2026-02-10 11:08:00-05:00,605.02,605.05,604.91,605.07,121980
2026-02-10 11:09:00-05:00,605.16,605.28,605.15,605.06,236971
2026-02-10 11:10:00-05:00,605.3,605.38,605.23,605.19,111120
2026-02-10 11:11:00-05:00,605.05,605.06,605.02,605.09,103553
2026-02-10 11:12:00-05:00,604.79,604.8,604.65,604.8,117486
2026-02-10 11:13:00-05:00,604.68,604.73,604.56,604.74,121972
2026-02-10 11:14:00-05:00,604.53,604.59,604.35,604.48,47295
2026-02-10 11:15:00-05:00,604.68,604.7,604.63,604.68,120331
2026-02-10 11:16:00-05:00,604.7,604.84,604.66,604.67,192682
2026-02-10 11:17:00-05:00,604.65,604.71,604.61,604.67,131861
2026-02-10 11:18:00-05:00,605.08,605.18,605.04,605.05,296738
2026-02-10 11:19:00-05:00,604.76,604.88,604.53,604.76,136522
2026-02-10 11:20:00-05:00,605.11,605.15,605.08,604.97,246397
2026-02-10 11:21:00-05:00,605.2,605.29,605.02,605.22,288334
2026-02-10 11:22:00-05:00,605.17,605.25,604.9,605.19,178248
2026-02-10 11:23:00-05:00,605.14,605.24,605.04,605.14,106080
2026-02-10 11:24:00-05:00,605.1,605.16,605.06,605.07,273421
2026-02-10 11:25:00-05:00,605.1,605.22,605.05,605.15,196545
2026-02-10 11:26:00-05:00,604.98,605.09,604.82,605.1,200129
2026-02-10 11:27:00-05:00,604.89,605.04,604.68,604.93,343871
2026-02-10 11:28:00-05:00,604.93,604.97,604.8,604.94,552868
2026-02-10 11:29:00-05:00,605.0,605.09,604.95,604.96,182032
2026-02-10 11:30:00-05:00,605.14,605.37,604.98,605.11,360985
2026-02-10 11:31:00-05:00,605.01,605.03,605.01,604.91,281277
2026-02-10 11:32:00-05:00,605.34,605.36,605.29,605.24,98120
2026-02-10 11:33:00-05:00,605.54,605.55,605.39,605.52,85174
2026-02-10 11:34:00-05:00,605.9,605.93,605.72,605.88,143936
2026-02-10 11:35:00-05:00,605.46,605.47,605.43,605.57,230522
2026-02-10 11:36:00-05:00,605.72,605.75,605.58,605.72,589293
2026-02-10 11:37:00-05:00,605.77,605.77,605.75,605.74,151421
2026-02-10 11:38:00-05:00,605.73,605.73,605.66,605.73,113957
2026-02-10 11:39:00-05:00,605.73,605.91,605.41,605.81,280899
